label,krippendorff_alpha,n_ratings,interpretation
any_suggestion,0.8814,4374,Strong (>=0.80)
suggest_safe,0.9488,4374,Strong (>=0.80)
suggest_efficient,0.9506,4374,Strong (>=0.80)
agree_proposal,0.7152,4374,Tentative (0.67-0.80)
discuss_fairness,0.4653,4374,Unreliable (<0.67)
discuss_efficient,0.7035,4374,Tentative (0.67-0.80)
discuss_rules,0.442,4374,Unreliable (<0.67)
explanation,0.2386,4374,Unreliable (<0.67)
discuss_howtoplay,0.2727,4374,Unreliable (<0.67)
ask_game,0.9045,4374,Strong (>=0.80)
receive_report,0.9242,4374,Strong (>=0.80)
truthful,0.9248,4374,Strong (>=0.80)
falsehood,0.8313,4374,Strong (>=0.80)
contradict,0.8448,4374,Strong (>=0.80)
neither_report,0.9428,4374,Strong (>=0.80)
